"TABLE_NAME","TABLE_SCHEMA","TABLE_OWNER"
"ANZ_PRACTICE_CHURN_ADJ","RAW","OPERATIONS_ANALYTICS_OWNER_AD"
"COMMERCIAL_PARTNER_DUAL_RECOGNITION_SELLER","RAW","OPERATIONS_ANALYTICS_OWNER_AD"
"FLARE_UNIT_ADJ","TRANSFORMED_PROD","OPERATIONS_ANALYTICS_OWNER_AD"
"IM_UNIT_ADJ","TRANSFORMED_PROD","OPERATIONS_ANALYTICS_MEMBER"
"OIP_UNIT_ADJ","TRANSFORMED_PROD","OPERATIONS_ANALYTICS_MEMBER"
"PRAC_2023_OTD","TRANSFORMED_PROD","OPERATIONS_ANALYTICS_OWNER_AD"
"SME_UNIT_ADJ","TRANSFORMED_PROD","OPERATIONS_ANALYTICS_OWNER_AD"
"PRACTICE_ONEOFF_SERVICES_ADJ","TRANSFORMED_PROD","OPERATIONS_ANALYTICS_OWNER_AD"
"ANZ_ENT_OPEN_DEALS","RAW","OPERATIONS_ANALYTICS_MEMBER"
"OIP_UNIT_ADJ","RAW","OPERATIONS_ANALYTICS_MEMBER_AD"
"OUT_THE_DOOR_NEW","RAW","OPERATIONS_ANALYTICS_OWNER_AD"
"CS_ENT_ARR_ADJ","TRANSFORMED_PROD","OPERATIONS_ANALYTICS_OWNER_AD"
"ENT_SC_AEAO_SALES","TRANSFORMED_PROD","OPERATIONS_ANALYTICS_OWNER_AD"
"PRACTICE_ARR_ADJ","TRANSFORMED_PROD","OPERATIONS_ANALYTICS_OWNER_AD"
"TE_ARR_ADJ","TRANSFORMED_PROD","OPERATIONS_ANALYTICS_OWNER_AD"
